# Para-hydrogen fraction, extracted from
# Conrath & Gierasch, 1984, Icarus. Figure 4.
# Relevent pressure level is between 0.2 ~ 0.3 bar
# Temperature is about 120 K
# Unsure about whether planetographic and planetocentric latitude is used
# latitude (degree), para-hydrogen fraction
-56.732, 0.325
-56.538, 0.323
-56.344, 0.316
-55.956, 0.325
-55.956, 0.308
-55.926, 0.333
-54.890, 0.326
-54.890, 0.305
-54.793, 0.318
-54.502, 0.312
-54.425, 0.326
-54.425, 0.305
-54.405, 0.316
-54.244, 0.318
-54.018, 0.312
-53.921, 0.319
-53.501, 0.318
-53.436, 0.319
-52.855, 0.307
-52.370, 0.324
-52.273, 0.312
-51.886, 0.324
-51.595, 0.313
-51.401, 0.314
-51.401, 0.309
-51.110, 0.313
-51.013, 0.308
-50.916, 0.314
-50.916, 0.309
-50.626, 0.321
-50.587, 0.308
-50.141, 0.321
-50.123, 0.329
-49.656, 0.320
-49.656, 0.298
-49.559, 0.312
-49.172, 0.298
-48.978, 0.310
-48.881, 0.308
-48.396, 0.308
-48.203, 0.312
-47.621, 0.303
-47.233, 0.316
-46.846, 0.299
-46.264, 0.311
-45.973, 0.306
-45.683, 0.317
-45.683, 0.313
-45.683, 0.311
-45.489, 0.324
-45.489, 0.306
-45.276, 0.314
-44.713, 0.324
-44.229, 0.314
-44.229, 0.307
-44.229, 0.305
-43.764, 0.307
-43.764, 0.305
-43.744, 0.314
-43.453, 0.304
-43.066, 0.317
-43.066, 0.309
-42.969, 0.305
-42.969, 0.304
-42.581, 0.317
-42.581, 0.309
-42.484, 0.302
-42.407, 0.308
-42.387, 0.311
-42.161, 0.305
-42.019, 0.314
-42.000, 0.302
-41.418, 0.305
-41.321, 0.300
-41.224, 0.302
-41.127, 0.303
-40.934, 0.299
-40.856, 0.300
-40.740, 0.316
-40.643, 0.305
-40.643, 0.303
-40.507, 0.299
-40.320, 0.316
-39.964, 0.312
-39.964, 0.311
-39.964, 0.308
-39.577, 0.313
-39.577, 0.296
-39.480, 0.312
-39.480, 0.311
-39.480, 0.309
-39.480, 0.308
-39.447, 0.316
-39.286, 0.303
-39.189, 0.304
-39.111, 0.313
-39.092, 0.296
-38.724, 0.304
-38.704, 0.315
-38.704, 0.308
-38.685, 0.314
-38.317, 0.299
-37.541, 0.303
-37.444, 0.300
-37.348, 0.294
-36.960, 0.300
-36.766, 0.303
-36.669, 0.312
-36.669, 0.304
-36.184, 0.312
-36.184, 0.304
-36.032, 0.303
-35.991, 0.310
-35.838, 0.309
-35.312, 0.305
-35.021, 0.309
-34.847, 0.305
-34.288, 0.309
-34.149, 0.302
-33.706, 0.302
-33.568, 0.306
-33.535, 0.300
-33.471, 0.298
-33.374, 0.307
-33.374, 0.301
-33.102, 0.306
-32.889, 0.307
-32.792, 0.295
-32.501, 0.309
-32.327, 0.295
-32.133, 0.308
-31.707, 0.309
-31.513, 0.305
-31.435, 0.299
-31.048, 0.301
-30.970, 0.305
-30.951, 0.309
-30.951, 0.299
-30.582, 0.301
-30.240, 0.309
-30.195, 0.300
-30.175, 0.296
-30.175, 0.304
-30.078, 0.307
-30.078, 0.302
-30.078, 0.298
-29.982, 0.306
-29.846, 0.301
-29.635, 0.303
-29.594, 0.307
-29.594, 0.304
-29.594, 0.302
-29.594, 0.298
-29.458, 0.309
-29.442, 0.296
-29.303, 0.299
-29.248, 0.308
-28.838, 0.306
-28.819, 0.304
-28.819, 0.299
-28.528, 0.303
-28.528, 0.300
-28.431, 0.308
-28.237, 0.314
-28.140, 0.307
-28.101, 0.303
-28.063, 0.300
-27.675, 0.307
-27.268, 0.303
-26.783, 0.299
-26.492, 0.306
-26.299, 0.299
-26.008, 0.305
-25.523, 0.305
-25.523, 0.299
-25.136, 0.309
-25.136, 0.302
-24.651, 0.307
-24.166, 0.307
-23.876, 0.283
-23.779, 0.303
-23.779, 0.297
-23.682, 0.302
-23.449, 0.296
-23.391, 0.284
-23.255, 0.301
-23.003, 0.301
-23.003, 0.297
-22.851, 0.296
-22.480, 0.299
-22.293, 0.300
-22.196, 0.293
-22.131, 0.305
-22.131, 0.298
-22.015, 0.296
-21.743, 0.293
-21.743, 0.303
-21.646, 0.304
-21.646, 0.299
-21.614, 0.298
-21.453, 0.294
-21.356, 0.301
-21.259, 0.303
-20.936, 0.301
-20.936, 0.294
-20.929, 0.298
-20.890, 0.299
-20.774, 0.293
-20.580, 0.288
-20.464, 0.300
-20.290, 0.296
-20.154, 0.294
-20.154, 0.288
-20.096, 0.305
-19.999, 0.297
-19.966, 0.287
-19.805, 0.302
-19.708, 0.303
-19.534, 0.297
-19.514, 0.303
-19.362, 0.301
-18.991, 0.303
-18.448, 0.296
-18.177, 0.303
-17.983, 0.296
-17.770, 0.295
-17.285, 0.299
-17.188, 0.296
-17.188, 0.295
-16.800, 0.299
-16.703, 0.304
-16.348, 0.295
-16.219, 0.304
-16.122, 0.297
-15.734, 0.302
-15.734, 0.301
-15.702, 0.297
-15.637, 0.295
-15.347, 0.293
-15.250, 0.302
-15.250, 0.301
-14.904, 0.295
-14.881, 0.293
-14.862, 0.297
-14.765, 0.307
-14.474, 0.308
-14.474, 0.303
-14.339, 0.306
-13.893, 0.294
-13.602, 0.290
-13.505, 0.307
-13.505, 0.304
-13.408, 0.296
-13.311, 0.305
-13.214, 0.301
-13.137, 0.290
-13.117, 0.302
-13.020, 0.311
-12.988, 0.296
-12.924, 0.292
-12.749, 0.301
-12.577, 0.305
-12.342, 0.303
-12.342, 0.302
-12.148, 0.298
-12.051, 0.323
-11.761, 0.299
-11.631, 0.298
-11.586, 0.322
-11.470, 0.300
-11.179, 0.292
-11.082, 0.293
-11.027, 0.299
-10.985, 0.300
-10.617, 0.293
-10.501, 0.297
-10.081, 0.297
-9.984, 0.303
-9.609, 0.296
-9.493, 0.303
-8.872, 0.302
-8.659, 0.307
-8.523, 0.300
-8.174, 0.298
-8.174, 0.288
-8.174, 0.287
-8.078, 0.293
-7.787, 0.295
-7.709, 0.298
-7.709, 0.287
-7.690, 0.299
-7.690, 0.288
-7.367, 0.295
-6.914, 0.292
-6.430, 0.294
-6.398, 0.292
-6.042, 0.296
-5.965, 0.295
-5.558, 0.296
-5.538, 0.295
-5.461, 0.288
-5.383, 0.300
-5.364, 0.291
-5.306, 0.297
-5.170, 0.294
-5.041, 0.288
-5.034, 0.299
-4.647, 0.297
-4.588, 0.301
-4.588, 0.298
-4.459, 0.293
-4.427, 0.297
-4.220, 0.288
-4.201, 0.300
-4.065, 0.292
-3.813, 0.295
-3.794, 0.289
-3.639, 0.295
-3.619, 0.296
-3.425, 0.284
-3.135, 0.300
-2.844, 0.294
-2.844, 0.288
-2.844, 0.286
-2.669, 0.300
-2.068, 0.294
-2.068, 0.288
-1.778, 0.291
-1.681, 0.286
-1.584, 0.289
-1.584, 0.285
-1.293, 0.294
-1.293, 0.291
-1.141, 0.285
-1.099, 0.289
-1.002, 0.296
-0.770, 0.295
-0.518, 0.296
-0.195, 0.294
-0.130, 0.295
-0.098, 0.290
0.064, 0.283
0.355, 0.282
0.393, 0.290
0.548, 0.287
0.742, 0.288
0.839, 0.282
0.991, 0.287
1.227, 0.293
1.227, 0.288
1.227, 0.277
1.268, 0.290
1.808, 0.292
1.905, 0.287
1.938, 0.290
2.002, 0.288
2.002, 0.283
2.099, 0.285
2.164, 0.284
2.196, 0.292
2.564, 0.285
2.584, 0.287
2.971, 0.292
3.553, 0.285
3.650, 0.294
3.650, 0.288
3.941, 0.291
4.038, 0.283
4.076, 0.285
4.134, 0.294
4.154, 0.288
4.270, 0.284
4.328, 0.289
4.458, 0.283
4.716, 0.291
4.716, 0.287
4.910, 0.293
5.491, 0.291
5.491, 0.282
5.491, 0.279
5.782, 0.286
6.267, 0.285
6.299, 0.289
6.751, 0.287
6.784, 0.289
6.848, 0.290
6.945, 0.282
7.061, 0.281
7.107, 0.286
7.236, 0.287
#7.624, 0.295
7.624, 0.284
7.624, 0.283
7.624, 0.282
7.720, 0.290
7.720, 0.289
#8.884, 0.295
8.884, 0.289
8.884, 0.285
8.884, 0.284
8.948, 0.288
9.077, 0.286
9.310, 0.286
9.368, 0.280
9.562, 0.284
9.659, 0.288
9.756, 0.292
9.756, 0.287
9.756, 0.289
10.102, 0.285
10.144, 0.288
10.279, 0.284
10.402, 0.289
10.434, 0.290
10.628, 0.294
10.628, 0.280
10.919, 0.290
11.048, 0.293
11.048, 0.289
11.113, 0.284
11.113, 0.281
11.500, 0.292
11.694, 0.294
11.888, 0.290
12.470, 0.294
12.470, 0.285
13.051, 0.300
13.439, 0.299
13.633, 0.300
13.633, 0.290
13.785, 0.288
14.214, 0.298
14.389, 0.290
14.408, 0.300
14.408, 0.296
14.738, 0.295
14.796, 0.291
14.990, 0.296
15.164, 0.293
15.183, 0.297
15.329, 0.295
15.358, 0.289
15.474, 0.292
15.474, 0.289
15.707, 0.296
15.959, 0.292
15.959, 0.289
16.153, 0.295
16.346, 0.293
16.637, 0.299
16.734, 0.299
16.928, 0.293
17.122, 0.303
17.122, 0.299
17.316, 0.299
17.413, 0.293
17.451, 0.298
17.606, 0.297
17.606, 0.290
17.878, 0.305
17.994, 0.287
18.026, 0.290
18.049, 0.296
18.091, 0.299
18.091, 0.293
18.285, 0.297
18.479, 0.287
18.576, 0.288
18.672, 0.292
18.866, 0.300
19.080, 0.288
19.254, 0.290
19.642, 0.299
19.739, 0.297
20.204, 0.297
20.320, 0.300
20.805, 0.300
21.096, 0.305
21.483, 0.306
21.580, 0.304
21.580, 0.298
21.968, 0.305
22.336, 0.304
22.840, 0.308
22.937, 0.295
23.131, 0.304
23.131, 0.302
23.228, 0.301
23.325, 0.308
23.654, 0.302
23.848, 0.301
24.003, 0.310
24.197, 0.298
24.391, 0.299
24.488, 0.310
24.682, 0.301
24.682, 0.298
24.875, 0.299
25.554, 0.311
25.748, 0.311
26.038, 0.311
26.213, 0.310
26.458, 0.309
26.620, 0.313
26.620, 0.305
26.814, 0.311
26.966, 0.309
27.201, 0.307
27.741, 0.307
29.528, 0.316
29.721, 0.311
30.109, 0.308
30.303, 0.316
30.529, 0.312
30.884, 0.304
30.981, 0.311
31.078, 0.312
31.175, 0.315
31.401, 0.310
31.660, 0.315
31.660, 0.313
31.679, 0.311
31.757, 0.317
31.757, 0.309
31.757, 0.307
31.796, 0.312
32.241, 0.317
32.241, 0.309
32.241, 0.306
32.241, 0.304
32.394, 0.311
33.501, 0.314
33.598, 0.307
33.986, 0.314
34.044, 0.303
34.374, 0.321
34.393, 0.304
34.858, 0.307
34.975, 0.301
35.052, 0.313
35.052, 0.310
35.149, 0.309
35.362, 0.315
35.440, 0.294
35.517, 0.313
35.537, 0.310
35.537, 0.307
35.634, 0.303
35.924, 0.294
36.021, 0.305
36.118, 0.303
36.312, 0.310
36.312, 0.307
36.409, 0.298
36.506, 0.305
36.894, 0.298
36.990, 0.304
37.087, 0.310
37.410, 0.304
38.057, 0.312
38.154, 0.303
38.154, 0.298
38.250, 0.294
38.597, 0.312
38.638, 0.317
38.638, 0.303
38.638, 0.298
38.929, 0.292
39.220, 0.310
39.413, 0.308
39.413, 0.292
39.413, 0.307
39.704, 0.311
39.801, 0.315
39.801, 0.310
39.995, 0.307
40.189, 0.311
40.189, 0.303
40.577, 0.310
40.673, 0.314
40.770, 0.319
40.770, 0.308
40.900, 0.306
41.158, 0.313
41.352, 0.297
41.352, 0.315
41.933, 0.324
41.933, 0.315
42.108, 0.309
42.127, 0.306
42.418, 0.312
42.534, 0.314
42.612, 0.308
42.660, 0.316
42.903, 0.311
43.077, 0.307
43.096, 0.304
43.193, 0.305
43.226, 0.316
43.290, 0.321
43.290, 0.314
43.678, 0.305
43.678, 0.331
43.872, 0.304
44.066, 0.308
44.163, 0.308
44.259, 0.331
44.453, 0.315
44.453, 0.327
44.583, 0.308
44.647, 0.304
44.841, 0.309
44.938, 0.302
45.035, 0.332
45.035, 0.327
45.326, 0.306
45.358, 0.302
45.423, 0.307
45.810, 0.332
45.810, 0.305
46.198, 0.308
46.586, 0.332
46.586, 0.312
46.779, 0.328
46.779, 0.318
46.973, 0.310
47.361, 0.332
47.361, 0.298
47.555, 0.312
47.846, 0.319
48.136, 0.313
48.136, 0.311
48.136, 0.310
48.311, 0.318
48.912, 0.307
49.202, 0.320
49.202, 0.312
49.668, 0.319
49.687, 0.315
49.687, 0.311
49.978, 0.322
49.978, 0.308
50.443, 0.308
50.462, 0.321
50.559, 0.329
50.656, 0.312
50.753, 0.318
50.850, 0.316
51.238, 0.319
51.722, 0.326
52.188, 0.326
52.207, 0.320
52.304, 0.312
52.788, 0.328
52.788, 0.306
52.982, 0.312
53.758, 0.329
54.242, 0.313
54.242, 0.312
55.185, 0.313
55.309, 0.330
55.926, 0.322
56.173, 0.331
56.420, 0.311
56.914, 0.334
57.037, 0.330
57.778, 0.334
57.901, 0.331
58.148, 0.339
59.259, 0.322
59.383, 0.331
